time,P_g_z,P_e_z,P_f_z,P_g_x,P_e_x,P_f_x,P_g_y,P_e_y,P_f_y
16,0.06483579881602376,0.46569621164504704,0.4694679895389292,0.07964080818066226,0.45460699098684587,0.46575220083249186,0.09861858984417375,0.9012885089649901,9.290119083610066e-05
36,0.07183854139859823,0.45533500604142424,0.4728264525599775,0.08766314776430516,0.4431671719629863,0.46916968027270856,0.10975421658937809,0.8889281622041946,0.0013176212064273793
56,0.08055488402080753,0.45039450927082225,0.46905060670837023,0.10075092555242278,0.4343726649627227,0.4648764094848545,0.11499412973365856,0.8837595568700828,0.0012463133962587543
76,0.09086995656039364,0.4355788921925501,0.4735511512470563,0.11245886786392065,0.432622861587499,0.4549182705485803,0.12623528085031963,0.8724143879458693,0.0013503312038110576
96,0.09761977903328438,0.43686327213456644,0.46551694883214917,0.11310813396367406,0.4411512896733284,0.4457405763629976,0.1273401023941995,0.8688862071239253,0.003773690481875305
116,0.09998266225336189,0.43238850278646535,0.46762883496017277,0.1241642261480213,0.434002649230712,0.4418331246212667,0.1358999629065216,0.8602436547816456,0.003856382311832883
136,0.11455551348702989,0.4146451188286627,0.47079936768430736,0.13350372222609155,0.4335423295200187,0.4329539482538897,0.14316755707873458,0.8543013569569948,0.002531085964270625
156,0.1112084001747238,0.4108741409387879,0.47791745888648834,0.1418216153244402,0.42854444891261173,0.42963393576294806,0.15223420405016466,0.8428830812253346,0.00488271472450075
176,0.12591345154702255,0.4077343795377392,0.46635216891523823,0.14500699455232652,0.4275622317207862,0.4274307737268873,0.15420147433805434,0.840369553176588,0.005428972485357717
196,0.13412855431156945,0.39317559472855346,0.4726958509598771,0.15385796416405553,0.4217055110456921,0.4244365247902524,0.16613234822979653,0.8287224170205257,0.005145234749677583
216,0.1413419024663833,0.39603539647278463,0.46262270106083203,0.1598043893569098,0.42373040529686534,0.41646520534622483,0.1778564199398625,0.8148007042700983,0.007342875790039132
236,0.14712231391256775,0.3870500402850847,0.46582764580234765,0.16603053574815135,0.41996728920449017,0.41400217504735853,0.1821072075527988,0.8083783445044879,0.00951444794271323
256,0.15602586788343353,0.3756330230571745,0.4683411090593921,0.17252346741395244,0.4169623825635019,0.41051415002254577,0.18267219610593974,0.8099686960993854,0.007359107794674794
276,0.1619245650065015,0.37122649808890473,0.46684893690459384,0.18369553202355374,0.4103966687263471,0.4059077992500992,0.19120422269754098,0.8009763453949,0.007819431907559007
296,0.17608261037733608,0.36031487124502876,0.4636025183776351,0.18393892053679697,0.41706367547091927,0.39899740399228373,0.1974259560509838,0.7941402355393075,0.008433808409708834
316,0.17290614562777756,0.3659317343335823,0.46116212003864027,0.19225748303343507,0.4088794569774656,0.39886305998909927,0.20181798329808145,0.7857961350765597,0.012385881625358886
336,0.182727148046698,0.35105634192034046,0.46621651003296155,0.1939977539804134,0.416096390908789,0.38990585511079756,0.2109857629111434,0.7774060551432451,0.011608181945611473
356,0.1882501054716962,0.3483226790294709,0.4634272154988329,0.19955930883592973,0.4127840978752761,0.3876565932887941,0.22229284383411924,0.7663301061488811,0.01137705001699967
376,0.1898996182712866,0.336246500467237,0.4738538812614765,0.21163534982259719,0.40455548383200207,0.38380916634540074,0.22070807918264185,0.7664637582666696,0.012828162550688662
396,0.2040072196014975,0.32987083205649054,0.4661219483420119,0.21577551179351837,0.39797183714464834,0.38625265106183326,0.22766604800060122,0.7595898789605222,0.012744073038876622
416,0.2068603967290108,0.33407775609487406,0.4590618471761152,0.21926447748532596,0.4091037160024043,0.3716318065122697,0.23247323013878812,0.7526618770807879,0.014864892780423983
436,0.21218346157916748,0.32346712798741695,0.4643494104334156,0.23120590718090248,0.39733851317608165,0.3714555796430159,0.24649333887570604,0.7389174791847353,0.014589181939558691
