time,P_g_z,P_e_z,P_f_z,P_g_x,P_e_x,P_f_x,P_g_y,P_e_y,P_f_y
16,0.1406,0.42355,0.43585,0.1475,0.4111,0.4414,0.19125,0.79885,0.0099
36,0.1474,0.413,0.4396,0.1642,0.40445,0.43135,0.1967,0.792,0.0113
56,0.15165,0.40705,0.4413,0.1679,0.40455,0.42755,0.20815,0.78045,0.0114
76,0.15945,0.4022,0.43835,0.17895,0.4003,0.42075,0.21715,0.771,0.01185
96,0.16815,0.39435,0.4375,0.18225,0.39835,0.4194,0.2197,0.7667,0.0136
116,0.17145,0.3898,0.43875,0.19105,0.39885,0.4101,0.2333,0.75335,0.01335
136,0.18035,0.38145,0.4382,0.19495,0.3984,0.40665,0.2287,0.7571,0.0142
156,0.1874,0.3758,0.4368,0.2004,0.39505,0.40455,0.24135,0.7457,0.01295
176,0.1898,0.3691,0.4411,0.21,0.38355,0.40645,0.2446,0.74195,0.01345
196,0.19655,0.36635,0.4371,0.22115,0.3843,0.39455,0.24695,0.7373,0.01575
216,0.20915,0.3541,0.43675,0.21965,0.3836,0.39675,0.25935,0.7243,0.01635
236,0.21,0.35065,0.43935,0.23095,0.38355,0.3855,0.26505,0.71975,0.0152
256,0.21985,0.35035,0.4298,0.2364,0.3748,0.3888,0.2693,0.715,0.0157
276,0.2257,0.3438,0.4305,0.2357,0.38335,0.38095,0.2786,0.7039,0.0175
296,0.2307,0.33685,0.43245,0.2516,0.374,0.3744,0.2826,0.69935,0.01805
316,0.2358,0.3359,0.4283,0.2543,0.3693,0.3764,0.28695,0.6963,0.01675
336,0.24015,0.3295,0.43035,0.2538,0.36785,0.37835,0.29445,0.68445,0.0211
356,0.24665,0.31925,0.4341,0.2661,0.3754,0.3585,0.29365,0.68635,0.02
376,0.25615,0.3147,0.42915,0.26885,0.37075,0.3604,0.29935,0.6793,0.02135
396,0.26395,0.31105,0.425,0.2691,0.3699,0.361,0.3105,0.66805,0.02145
416,0.26545,0.3021,0.43245,0.28295,0.36195,0.3551,0.3094,0.66555,0.02505
436,0.2661,0.29675,0.43715,0.29205,0.35645,0.3515,0.31575,0.66085,0.0234
456,0.2736,0.296,0.4304,0.2924,0.36045,0.34715,0.3229,0.6504,0.0267
476,0.28615,0.2929,0.42095,0.3044,0.35185,0.34375,0.3335,0.64155,0.02495
496,0.2827,0.2883,0.429,0.30425,0.34945,0.3463,0.33435,0.63935,0.0263
516,0.2984,0.28025,0.42135,0.3155,0.35065,0.33385,0.33925,0.63315,0.0276
536,0.29655,0.2768,0.42665,0.3108,0.35485,0.33435,0.342,0.63005,0.02795
556,0.2958,0.27595,0.42825,0.32325,0.3488,0.32795,0.34875,0.62035,0.0309
576,0.3053,0.27035,0.42435,0.3278,0.3436,0.3286,0.3478,0.6239,0.0283
596,0.30915,0.26415,0.4267,0.32645,0.3423,0.33125,0.3589,0.61015,0.03095
616,0.3135,0.25845,0.42805,0.3397,0.34205,0.31825,0.3673,0.60065,0.03205
636,0.32445,0.25945,0.4161,0.34675,0.3375,0.31575,0.3615,0.6071,0.0314
656,0.32505,0.2517,0.42325,0.34245,0.3397,0.31785,0.3719,0.5972,0.0309
676,0.3236,0.25435,0.42205,0.3504,0.33115,0.31845,0.37505,0.5936,0.03135
696,0.33205,0.2483,0.41965,0.3541,0.33675,0.30915,0.37825,0.58675,0.035
716,0.3356,0.2397,0.4247,0.3544,0.3401,0.3055,0.3825,0.5817,0.0358
736,0.3368,0.24235,0.42085,0.3573,0.33455,0.30815,0.3879,0.57485,0.03725
756,0.34345,0.23195,0.4246,0.3622,0.33695,0.30085,0.3851,0.57435,0.04055
776,0.34465,0.23845,0.4169,0.372,0.3311,0.2969,0.3881,0.57375,0.03815
796,0.3543,0.2278,0.4179,0.3733,0.3293,0.2974,0.39345,0.56545,0.0411
816,0.35445,0.2274,0.41815,0.38185,0.32135,0.2968,0.3966,0.5627,0.0407
836,0.35945,0.2255,0.41505,0.3784,0.3195,0.3021,0.4054,0.55385,0.04075
856,0.3623,0.21355,0.42415,0.38915,0.3225,0.28835,0.40825,0.5528,0.03895
876,0.366,0.21555,0.41845,0.38845,0.32535,0.2862,0.4129,0.5433,0.0438
896,0.37755,0.2117,0.41075,0.3908,0.3175,0.2917,0.4077,0.5475,0.0448
916,0.37805,0.21085,0.4111,0.4023,0.31505,0.28265,0.4154,0.53865,0.04595
936,0.37885,0.20635,0.4148,0.40055,0.31785,0.2816,0.42565,0.52875,0.0456
956,0.38795,0.1977,0.41435,0.40485,0.31385,0.2813,0.42435,0.529,0.04665
976,0.38735,0.1972,0.41545,0.4064,0.3184,0.2752,0.4286,0.52535,0.04605
996,0.39065,0.1941,0.41525,0.4183,0.31055,0.27115,0.43205,0.52225,0.0457
1016,0.39735,0.1965,0.40615,0.413,0.3168,0.2702,0.43275,0.5157,0.05155
1036,0.38825,0.19335,0.4184,0.41885,0.31385,0.2673,0.4363,0.51205,0.05165
1056,0.40335,0.18955,0.4071,0.4234,0.307,0.2696,0.4465,0.50515,0.04835
1076,0.40475,0.18555,0.4097,0.4266,0.3058,0.2676,0.4461,0.50165,0.05225
1096,0.40845,0.18615,0.4054,0.4219,0.3109,0.2672,0.44035,0.5038,0.05585
1116,0.4093,0.17715,0.41355,0.42595,0.3094,0.26465,0.446,0.5007,0.0533
1136,0.4127,0.17745,0.40985,0.4311,0.30155,0.26735,0.4528,0.4935,0.0537
1156,0.41515,0.176,0.40885,0.4367,0.30615,0.25715,0.4649,0.4788,0.0563
1176,0.41865,0.17195,0.4094,0.43615,0.30965,0.2542,0.4523,0.48995,0.05775
1196,0.42725,0.16835,0.4044,0.4391,0.30095,0.25995,0.46575,0.4769,0.05735
1216,0.4214,0.16545,0.41315,0.44295,0.3038,0.25325,0.4631,0.47495,0.06195
1236,0.43215,0.16065,0.4072,0.4474,0.30105,0.25155,0.46215,0.4782,0.05965
1256,0.4288,0.1632,0.408,0.4475,0.2959,0.2566,0.46535,0.47435,0.0603
1276,0.43575,0.1606,0.40365,0.4532,0.3018,0.245,0.47425,0.46465,0.0611
1296,0.4379,0.159,0.4031,0.4528,0.30175,0.24545,0.47035,0.46645,0.0632
1316,0.43495,0.15445,0.4106,0.4631,0.2909,0.246,0.4758,0.4611,0.0631
1336,0.4395,0.15155,0.40895,0.4605,0.2952,0.2443,0.4789,0.45445,0.06665
1356,0.44345,0.15275,0.4038,0.46525,0.2886,0.24615,0.4786,0.45445,0.06695
1376,0.45315,0.1501,0.39675,0.46885,0.2915,0.23965,0.4843,0.44805,0.06765
1396,0.4501,0.1485,0.4014,0.47155,0.28645,0.242,0.48235,0.4502,0.06745
1416,0.4553,0.1462,0.3985,0.47405,0.29285,0.2331,0.4911,0.44235,0.06655
1436,0.4566,0.14465,0.39875,0.4757,0.2881,0.2362,0.49055,0.44025,0.0692
1456,0.44945,0.1389,0.41165,0.48425,0.28755,0.2282,0.48935,0.43975,0.0709
1476,0.4593,0.14095,0.39975,0.47975,0.2867,0.23355,0.4953,0.43375,0.07095
1496,0.4584,0.1401,0.4015,0.4799,0.291,0.2291,0.50005,0.4293,0.07065
1516,0.4585,0.13535,0.40615,0.4902,0.2789,0.2309,0.49825,0.42915,0.0726
1536,0.4642,0.13865,0.39715,0.4892,0.2782,0.2326,0.4981,0.42595,0.07595
1556,0.4665,0.1314,0.4021,0.4856,0.2845,0.2299,0.5037,0.42175,0.07455
1576,0.4657,0.1312,0.4031,0.4896,0.28175,0.22865,0.5043,0.42175,0.07395
1596,0.4664,0.12695,0.40665,0.4989,0.2725,0.2286,0.51115,0.4128,0.07605
1616,0.4734,0.1298,0.3968,0.4971,0.27965,0.22325,0.50385,0.41825,0.0779
1636,0.47605,0.1283,0.39565,0.5024,0.2773,0.2203,0.51575,0.4082,0.07605
1656,0.48035,0.12385,0.3958,0.4988,0.2796,0.2216,0.5192,0.39935,0.08145
1676,0.47705,0.13135,0.3916,0.5022,0.2802,0.2176,0.51785,0.39855,0.0836
1696,0.4865,0.1237,0.3898,0.50415,0.27825,0.2176,0.5174,0.4042,0.0784
1716,0.4838,0.1213,0.3949,0.50685,0.27535,0.2178,0.51955,0.3999,0.08055
1736,0.4881,0.11795,0.39395,0.51275,0.27315,0.2141,0.51755,0.3979,0.08455
1756,0.49045,0.1145,0.39505,0.51355,0.2691,0.21735,0.5232,0.39435,0.08245
1776,0.4911,0.11795,0.39095,0.5103,0.2705,0.2192,0.5243,0.3923,0.0834
1796,0.4944,0.11565,0.38995,0.51265,0.2713,0.21605,0.5209,0.39155,0.08755
1816,0.49565,0.1119,0.39245,0.51955,0.2703,0.21015,0.52925,0.38435,0.0864
1836,0.4936,0.1147,0.3917,0.51585,0.27105,0.2131,0.52885,0.38465,0.0865
1856,0.50165,0.1105,0.38785,0.51715,0.27395,0.2089,0.53315,0.3762,0.09065
1876,0.5064,0.1067,0.3869,0.5274,0.26555,0.20705,0.52895,0.38335,0.0877
1896,0.5084,0.10595,0.38565,0.52365,0.27095,0.2054,0.53355,0.3762,0.09025
1916,0.51285,0.11,0.37715,0.52405,0.2642,0.21175,0.5373,0.37395,0.08875
1936,0.50625,0.10635,0.3874,0.5253,0.27,0.2047,0.5399,0.37085,0.08925
1956,0.50565,0.1018,0.39255,0.52995,0.2631,0.20695,0.5398,0.3692,0.091
1976,0.5118,0.10065,0.38755,0.5334,0.26135,0.20525,0.53655,0.3695,0.09395
1996,0.51565,0.10235,0.382,0.52715,0.26685,0.206,0.5442,0.3649,0.0909
2016,0.51385,0.0971,0.38905,0.53125,0.2664,0.20235,0.54305,0.36175,0.0952
2036,0.5149,0.09615,0.38895,0.53805,0.258,0.20395,0.54615,0.3585,0.09535
2056,0.51425,0.0975,0.38825,0.5401,0.25905,0.20085,0.5473,0.3544,0.0983
2076,0.51655,0.0979,0.38555,0.54215,0.2655,0.19235,0.5499,0.352,0.0981
2096,0.51995,0.0951,0.38495,0.53865,0.2597,0.20165,0.5501,0.34915,0.10075
2116,0.5209,0.0931,0.386,0.53645,0.26115,0.2024,0.5489,0.35115,0.09995
2136,0.52135,0.0939,0.38475,0.54605,0.2568,0.19715,0.54775,0.3516,0.10065
2156,0.5245,0.0928,0.3827,0.54565,0.2591,0.19525,0.55795,0.3445,0.09755
2176,0.52655,0.0907,0.38275,0.54675,0.254,0.19925,0.5516,0.34855,0.09985
2196,0.5309,0.08855,0.38055,0.5468,0.25605,0.19715,0.5578,0.3408,0.1014
2216,0.526,0.0897,0.3843,0.5468,0.2566,0.1966,0.55815,0.34145,0.1004
