time,P_g_z,P_e_z,P_f_z,P_g_x,P_e_x,P_f_x,P_g_y,P_e_y,P_f_y
16,0.1443,0.4456,0.4101,0.202,0.7899,0.0081,0.15315,0.4103,0.43655
36,0.15925,0.4654,0.37535,0.20575,0.7831,0.01115,0.16455,0.39485,0.4406
56,0.16905,0.4901,0.34085,0.22125,0.76285,0.0159,0.1746,0.38765,0.43775
76,0.1866,0.50305,0.31035,0.229,0.75015,0.02085,0.18905,0.3908,0.42015
96,0.191,0.51915,0.28985,0.2449,0.72985,0.02525,0.1973,0.38485,0.41785
116,0.2086,0.5301,0.2613,0.2482,0.71875,0.03305,0.2101,0.37695,0.41295
136,0.2171,0.55285,0.23005,0.25615,0.70155,0.0423,0.2188,0.3711,0.4101
156,0.23275,0.55815,0.2091,0.27035,0.67805,0.0516,0.2278,0.36455,0.40765
176,0.24415,0.57035,0.1855,0.2736,0.662,0.0644,0.2477,0.35915,0.39315
196,0.2592,0.5783,0.1625,0.28715,0.63755,0.0753,0.25805,0.3448,0.39715
216,0.2712,0.58525,0.14355,0.30365,0.611,0.08535,0.2663,0.3451,0.3886
236,0.28415,0.5918,0.12405,0.31115,0.5926,0.09625,0.2782,0.3416,0.3802
256,0.2979,0.59765,0.10445,0.32045,0.5665,0.11305,0.2905,0.3312,0.3783
276,0.30995,0.59795,0.0921,0.3258,0.54825,0.12595,0.3078,0.3251,0.3671
296,0.3186,0.60905,0.07235,0.3432,0.5126,0.1442,0.31535,0.325,0.35965
316,0.33605,0.60355,0.0604,0.3521,0.48965,0.15825,0.32395,0.31545,0.3606
336,0.3504,0.59835,0.05125,0.3637,0.4672,0.1691,0.3375,0.3134,0.3491
356,0.3602,0.5999,0.0399,0.36835,0.4397,0.19195,0.35395,0.3024,0.34365
376,0.3694,0.5988,0.0318,0.3794,0.4138,0.2068,0.36915,0.29495,0.3359
396,0.38165,0.59685,0.0215,0.38885,0.3935,0.21765,0.3829,0.2905,0.3266
416,0.39125,0.59195,0.0168,0.3975,0.37135,0.23115,0.38725,0.2901,0.32265
436,0.4008,0.586,0.0132,0.4078,0.3414,0.2508,0.3976,0.2828,0.3196
456,0.41275,0.57855,0.0087,0.4126,0.3242,0.2632,0.4107,0.2783,0.311
476,0.42215,0.5696,0.00825,0.4238,0.29375,0.28245,0.4158,0.2736,0.3106
496,0.4418,0.55015,0.00805,0.42965,0.27415,0.2962,0.42885,0.2634,0.30775
516,0.4433,0.54795,0.00875,0.4417,0.2465,0.3118,0.4325,0.267,0.3005
536,0.45565,0.53235,0.012,0.44075,0.2304,0.32885,0.45355,0.2507,0.29575
556,0.4671,0.5189,0.014,0.45865,0.20695,0.3344,0.4629,0.2501,0.287
576,0.4706,0.5084,0.021,0.45885,0.18625,0.3549,0.47265,0.24495,0.2824
596,0.47875,0.4939,0.02735,0.4649,0.1677,0.3674,0.4779,0.24195,0.28015
616,0.4935,0.4712,0.0353,0.47665,0.1461,0.37725,0.49315,0.23565,0.2712
636,0.49675,0.45865,0.0446,0.48395,0.1261,0.38995,0.4947,0.2333,0.272
656,0.5043,0.4429,0.0528,0.4858,0.1151,0.3991,0.49575,0.22945,0.2748
676,0.5121,0.42335,0.06455,0.4922,0.0993,0.4085,0.50845,0.22975,0.2618
696,0.52215,0.4049,0.07295,0.49695,0.0837,0.41935,0.51685,0.22575,0.2574
716,0.5311,0.38325,0.08565,0.5082,0.0741,0.4177,0.52635,0.2245,0.24915
736,0.5288,0.37125,0.09995,0.5074,0.05775,0.43485,0.5302,0.2191,0.2507
756,0.5344,0.35235,0.11325,0.51085,0.0496,0.43955,0.53705,0.2162,0.24675
776,0.53525,0.3409,0.12385,0.5266,0.0405,0.4329,0.54105,0.2167,0.24225
796,0.54425,0.3211,0.13465,0.5223,0.03465,0.44305,0.54975,0.203,0.24725
816,0.5459,0.3021,0.152,0.5321,0.02755,0.44035,0.55165,0.21335,0.235
836,0.5558,0.27835,0.16585,0.5314,0.0215,0.4471,0.5534,0.21305,0.23355
856,0.5613,0.25695,0.18175,0.53915,0.0172,0.44365,0.5547,0.20595,0.23935
876,0.56265,0.24245,0.1949,0.5379,0.01365,0.44845,0.5611,0.2056,0.2333
896,0.56615,0.2248,0.20905,0.5472,0.0125,0.4403,0.56545,0.2001,0.23445
916,0.56065,0.2153,0.22405,0.55125,0.0117,0.43705,0.5692,0.2041,0.2267
936,0.5705,0.19435,0.23515,0.55315,0.01065,0.4362,0.5781,0.1951,0.2268
956,0.55975,0.1839,0.25635,0.5527,0.0135,0.4338,0.57255,0.1947,0.23275
976,0.56845,0.16565,0.2659,0.55295,0.01705,0.43,0.5808,0.20005,0.21915
996,0.57715,0.1477,0.27515,0.56355,0.0199,0.41655,0.577,0.1974,0.2256
1016,0.56925,0.1335,0.29725,0.56695,0.02475,0.4083,0.5722,0.201,0.2268
1036,0.57325,0.1185,0.30825,0.56805,0.0283,0.40365,0.5829,0.2003,0.2168
1056,0.5751,0.10595,0.31895,0.5641,0.039,0.3969,0.58365,0.1951,0.22125
1076,0.5648,0.1011,0.3341,0.57595,0.04285,0.3812,0.58575,0.1965,0.21775
1096,0.5752,0.0835,0.3413,0.56505,0.05255,0.3824,0.58465,0.1952,0.22015
1116,0.5716,0.07305,0.35535,0.57415,0.05895,0.3669,0.58815,0.1928,0.21905
1136,0.5741,0.0643,0.3616,0.5712,0.072,0.3568,0.58945,0.19405,0.2165
1156,0.5697,0.055,0.3753,0.5756,0.0783,0.3461,0.58265,0.1985,0.21885
1176,0.57115,0.04635,0.3825,0.58025,0.08725,0.3325,0.5867,0.19235,0.22095
1196,0.5731,0.0393,0.3876,0.57215,0.104,0.32385,0.5903,0.1958,0.2139
1216,0.57055,0.03655,0.3929,0.58075,0.10975,0.3095,0.591,0.19225,0.21675
1236,0.5699,0.0311,0.399,0.58115,0.11935,0.2995,0.58315,0.1974,0.21945
1256,0.57105,0.0251,0.40385,0.5806,0.1335,0.2859,0.58665,0.19615,0.2172
1276,0.5699,0.02275,0.40735,0.57965,0.14855,0.2718,0.5883,0.19435,0.21735
1296,0.5732,0.018,0.4088,0.58695,0.15565,0.2574,0.58845,0.19665,0.2149
1316,0.56865,0.0165,0.41485,0.5881,0.1685,0.2434,0.586,0.1931,0.2209
1336,0.5704,0.0172,0.4124,0.585,0.18315,0.23185,0.5902,0.19315,0.21665
1356,0.5726,0.01635,0.41105,0.59125,0.19,0.21875,0.58975,0.19155,0.2187
1376,0.57715,0.01565,0.4072,0.59075,0.2011,0.20815,0.59805,0.19245,0.2095
