time,P_g_z,P_e_z,P_f_z,P_g_x,P_e_x,P_f_x,P_g_y,P_e_y,P_f_y
16,0.1108,0.2327,0.6565,0.09635,0.06115,0.8425,0.14735,0.40355,0.4491
36,0.0971,0.1113,0.7916,0.1015,0.16045,0.73805,0.13745,0.4095,0.45305
56,0.08335,0.03775,0.8789,0.11625,0.30095,0.5828,0.12895,0.4167,0.45435
76,0.0825,0.02625,0.89125,0.1344,0.4534,0.4122,0.12505,0.41485,0.4601
96,0.09245,0.0719,0.83565,0.15635,0.6004,0.24325,0.12765,0.41635,0.456
116,0.10755,0.1713,0.72115,0.1742,0.7095,0.1163,0.1359,0.40615,0.45795
136,0.1327,0.31245,0.55485,0.1998,0.76545,0.03475,0.1527,0.40555,0.44175
156,0.1615,0.44675,0.39175,0.2231,0.76125,0.01565,0.1725,0.3906,0.4369
176,0.1904,0.59045,0.21915,0.2347,0.7011,0.0642,0.1876,0.3871,0.4253
196,0.2159,0.68955,0.09455,0.2371,0.594,0.1689,0.20755,0.3738,0.41865
216,0.2371,0.73755,0.02535,0.234,0.4646,0.3014,0.21625,0.3695,0.41425
236,0.2518,0.7276,0.0206,0.2402,0.3141,0.4457,0.242,0.35425,0.40375
256,0.26835,0.6539,0.07775,0.234,0.1722,0.5938,0.251,0.34775,0.40125
276,0.2647,0.547,0.1883,0.2267,0.07725,0.69605,0.26245,0.3502,0.38735
296,0.24965,0.4093,0.34105,0.21755,0.02695,0.7555,0.25925,0.3488,0.39195
316,0.23055,0.28195,0.4875,0.2163,0.02945,0.75425,0.2561,0.35405,0.38985
336,0.2231,0.15305,0.62385,0.21805,0.0889,0.69305,0.2547,0.34595,0.39935
356,0.21415,0.06235,0.7235,0.22575,0.18615,0.5881,0.2434,0.35395,0.40265
376,0.20505,0.0246,0.77035,0.23395,0.3141,0.45195,0.24175,0.3528,0.40545
396,0.2086,0.03875,0.75265,0.25355,0.4447,0.30175,0.24405,0.3498,0.40615
416,0.21355,0.0986,0.68785,0.28015,0.5544,0.16545,0.2439,0.3469,0.4092
436,0.23645,0.2011,0.56245,0.29445,0.6373,0.06825,0.2621,0.3393,0.3986
456,0.25445,0.32105,0.4245,0.3079,0.6675,0.0246,0.26715,0.3409,0.39195
476,0.2796,0.443,0.2774,0.32045,0.6482,0.03135,0.2851,0.33585,0.37905
496,0.3074,0.5468,0.1458,0.33315,0.57485,0.092,0.30195,0.32855,0.3695
516,0.3356,0.6097,0.0547,0.34415,0.46735,0.1885,0.3196,0.31755,0.36285
536,0.3486,0.63195,0.01945,0.33775,0.34425,0.318,0.33265,0.31055,0.3568
556,0.3546,0.60505,0.04035,0.327,0.2256,0.4474,0.3424,0.3083,0.3493
576,0.3597,0.53605,0.10425,0.33075,0.11595,0.5533,0.34985,0.30655,0.3436
596,0.3573,0.43225,0.21045,0.31905,0.04675,0.6342,0.35385,0.3066,0.33955
616,0.3509,0.30855,0.34055,0.3276,0.0216,0.6508,0.35305,0.29925,0.3477
636,0.33695,0.196,0.46705,0.32085,0.0451,0.63405,0.3507,0.2993,0.35
656,0.31805,0.09815,0.5838,0.3197,0.113,0.5673,0.34785,0.3031,0.34905
676,0.3138,0.0412,0.645,0.32855,0.20945,0.462,0.34435,0.30145,0.3542
696,0.30685,0.0249,0.66825,0.34385,0.321,0.33515,0.3364,0.29985,0.36375
716,0.318,0.0541,0.6279,0.3574,0.43315,0.20945,0.3375,0.30265,0.35985
736,0.323,0.124,0.553,0.3831,0.50615,0.11075,0.34745,0.2939,0.35865
756,0.34065,0.22145,0.4379,0.39365,0.5625,0.04385,0.3581,0.30035,0.34155
776,0.36625,0.31925,0.3145,0.409,0.5692,0.0218,0.3699,0.29255,0.33755
796,0.38975,0.42155,0.1887,0.4124,0.5411,0.0465,0.3872,0.28145,0.33135
816,0.4084,0.49075,0.10085,0.4225,0.46115,0.11635,0.40075,0.2773,0.32195
836,0.4303,0.5344,0.0353,0.4268,0.3614,0.2118,0.4114,0.26955,0.31905
856,0.4421,0.5349,0.023,0.4221,0.2503,0.3276,0.42855,0.26485,0.3066
876,0.43695,0.50095,0.0621,0.42455,0.15415,0.4213,0.43365,0.26115,0.3052
896,0.4472,0.4207,0.1321,0.4193,0.07165,0.50905,0.43655,0.2566,0.30685
916,0.4316,0.3309,0.2375,0.4118,0.0307,0.5575,0.43965,0.25685,0.3035
936,0.42835,0.2263,0.34535,0.3999,0.02755,0.57255,0.4342,0.25455,0.31125
