time,P_g_z,P_e_z,P_f_z,P_g_x,P_e_x,P_f_x,P_g_y,P_e_y,P_f_y
16,0.17285,0.76785,0.0593,0.1463,0.22375,0.62995,0.1687,0.4062,0.4251
36,0.1731,0.65745,0.16945,0.1325,0.10125,0.76625,0.17075,0.3977,0.43155
56,0.16765,0.5055,0.32685,0.1257,0.0316,0.8427,0.17685,0.39685,0.4263
76,0.1521,0.34515,0.50275,0.1267,0.02275,0.85055,0.17105,0.4041,0.42485
96,0.13785,0.19905,0.6631,0.1268,0.07795,0.79525,0.1672,0.40005,0.43275
116,0.12335,0.08695,0.7897,0.13415,0.18425,0.6816,0.16235,0.40315,0.4345
136,0.10995,0.0265,0.86355,0.15055,0.3219,0.52755,0.15755,0.4078,0.43465
156,0.11885,0.0286,0.85255,0.16085,0.4705,0.36865,0.15735,0.40445,0.4382
176,0.1236,0.09,0.7864,0.1864,0.60845,0.20515,0.16195,0.39985,0.4382
196,0.14095,0.1928,0.66625,0.20695,0.7073,0.08575,0.1743,0.39345,0.43225
216,0.1687,0.33115,0.50015,0.2297,0.74805,0.02225,0.1825,0.3866,0.4309
236,0.196,0.46475,0.33925,0.24485,0.733,0.02215,0.2004,0.38185,0.41775
256,0.2174,0.59535,0.18725,0.2511,0.67205,0.07685,0.22355,0.372,0.40445
276,0.24295,0.6831,0.07395,0.26735,0.5471,0.18555,0.23935,0.3631,0.39755
296,0.2655,0.7169,0.0176,0.2599,0.41325,0.32685,0.25165,0.35755,0.3908
316,0.28335,0.68875,0.0279,0.25445,0.27185,0.4737,0.2684,0.35215,0.37945
336,0.2846,0.619,0.0964,0.25175,0.14725,0.601,0.27235,0.34565,0.382
356,0.2768,0.51795,0.20525,0.24655,0.0578,0.69565,0.2819,0.34505,0.37305
376,0.27475,0.3709,0.35435,0.2432,0.02485,0.73195,0.2831,0.3423,0.3746
396,0.2604,0.24455,0.49505,0.2404,0.037,0.7226,0.27695,0.34195,0.3811
416,0.2424,0.1262,0.6314,0.24675,0.1046,0.64865,0.276,0.3376,0.3864
436,0.2303,0.04885,0.72085,0.2521,0.2101,0.5378,0.26635,0.3498,0.38385
456,0.2288,0.02295,0.74825,0.2648,0.32945,0.40575,0.268,0.3446,0.3874
476,0.23125,0.0472,0.72155,0.2786,0.45385,0.26755,0.26425,0.34845,0.3873
496,0.24715,0.11955,0.6333,0.30155,0.5554,0.14305,0.2714,0.34455,0.38405
516,0.26035,0.21515,0.5245,0.3206,0.625,0.0544,0.285,0.34275,0.37225
536,0.2861,0.33665,0.37725,0.34495,0.63395,0.0211,0.29575,0.33625,0.368
556,0.302,0.45905,0.23895,0.3478,0.6151,0.0371,0.3061,0.32895,0.36495
576,0.33665,0.54045,0.1229,0.35475,0.5458,0.09945,0.32625,0.31515,0.3586
596,0.35535,0.5989,0.04575,0.36365,0.42735,0.209,0.34655,0.3083,0.34515
616,0.36595,0.61535,0.0187,0.35825,0.30495,0.3368,0.36295,0.30565,0.3314
636,0.3779,0.57645,0.04565,0.35175,0.1939,0.45435,0.3739,0.3038,0.3223
656,0.3778,0.49995,0.12225,0.35005,0.09845,0.5515,0.3757,0.29605,0.32825
676,0.37255,0.39685,0.2306,0.354,0.03695,0.60905,0.3826,0.29145,0.32595
696,0.361,0.27605,0.36295,0.3466,0.0208,0.6326,0.37555,0.2897,0.33475
716,0.34955,0.1696,0.48085,0.34295,0.0579,0.59915,0.36725,0.296,0.33675
736,0.3435,0.0827,0.5738,0.33995,0.1219,0.53815,0.3665,0.29625,0.33725
756,0.33375,0.0323,0.63395,0.3523,0.22495,0.42275,0.36635,0.2908,0.34285
776,0.33425,0.0273,0.63845,0.36355,0.33215,0.3043,0.36165,0.29885,0.3395
796,0.3356,0.0624,0.602,0.3849,0.43165,0.18345,0.3604,0.30055,0.33905
816,0.34805,0.13695,0.515,0.4001,0.5083,0.0916,0.3676,0.291,0.3414
836,0.3748,0.22625,0.39895,0.41515,0.5482,0.03665,0.3792,0.29405,0.32675
856,0.38155,0.33795,0.2805,0.43155,0.5439,0.02455,0.3966,0.27805,0.32535
876,0.41235,0.42295,0.1647,0.4365,0.5044,0.0591,0.4027,0.27905,0.31825
896,0.4252,0.4942,0.0806,0.44565,0.4231,0.13125,0.4269,0.2704,0.3027
916,0.44365,0.52935,0.027,0.44535,0.3382,0.21645,0.438,0.264,0.298
936,0.4567,0.5184,0.0249,0.4347,0.23075,0.33455,0.44525,0.2559,0.29885
956,0.4543,0.47875,0.06695,0.4361,0.13225,0.43165,0.45185,0.2549,0.29325
976,0.4542,0.39815,0.14765,0.4363,0.05965,0.50405,0.45465,0.2544,0.29095
996,0.4499,0.3033,0.2468,0.4308,0.0271,0.5421,0.4595,0.25485,0.28565
1016,0.44725,0.19995,0.3528,0.42065,0.034,0.54535,0.45595,0.25355,0.2905
1036,0.43075,0.1187,0.45055,0.4285,0.07505,0.49645,0.4489,0.2534,0.2977
1056,0.4208,0.05375,0.52545,0.43635,0.1423,0.42135,0.4429,0.25475,0.30235
1076,0.41925,0.02615,0.5546,0.44785,0.23055,0.3216,0.4474,0.2512,0.3014
1096,0.41865,0.03325,0.5481,0.4614,0.3183,0.2203,0.44545,0.25055,0.304
1116,0.424,0.0808,0.4952,0.4735,0.39965,0.12685,0.4474,0.25345,0.29915
1136,0.44725,0.14765,0.4051,0.48615,0.45545,0.0584,0.4536,0.25465,0.29175
1156,0.464,0.23385,0.30215,0.4958,0.47705,0.02715,0.46145,0.2485,0.29005
1176,0.47455,0.3201,0.20535,0.50365,0.4625,0.03385,0.4695,0.2457,0.2848
1196,0.4948,0.39315,0.11205,0.51045,0.41395,0.0756,0.4906,0.23475,0.27465
1216,0.5089,0.44185,0.04925,0.50825,0.34595,0.1458,0.5035,0.2309,0.2656
1236,0.5208,0.4544,0.0248,0.5117,0.2467,0.2416,0.5136,0.2292,0.2572
1256,0.53205,0.4326,0.03535,0.50735,0.1646,0.32805,0.5208,0.22305,0.25615
